steps	avg_reward	std_reward
0	10.4	1.4966629547095764
6000	11.566666666666666	2.2163533613172386
12000	12.466666666666667	2.906697247545552
18000	17.066666666666666	8.706064297692476
24000	17.2	7.799145252312376
30000	21.333333333333332	10.982814858779248
